There are 32 threads
Mertens at 1000000000: -222
Mertens at 2000000000: 6556
Mertens at 3000000000: 7452
Mertens at 4000000000: -11741
Mertens at 5000000000: 4625
Mertens at 6000000000: -8485
Mertens at 7000000000: -6355
Mertens at 8000000000: 20001
Mertens at 9000000000: -1892
Mertens at 10000000000: -33722
Mertens at 11000000000: -578
Mertens at 12000000000: 17878
Mertens at 13000000000: 3426
Mertens at 14000000000: -1074
Mertens at 15000000000: -14168
Mertens at 16000000000: -28442
Mertens at 17000000000: -15280
Mertens at 18000000000: 5292
Mertens at 19000000000: 41314
Mertens at 20000000000: 48723
Mertens at 21000000000: -4217
Mertens at 22000000000: -22579
Mertens at 23000000000: -56077
Mertens at 24000000000: -37546
Mertens at 25000000000: -856
Mertens at 26000000000: 18856
Mertens at 27000000000: 4548
Mertens at 28000000000: 1471
Mertens at 29000000000: 4307
Mertens at 30000000000: 42411
Mertens at 31000000000: 34234
Mertens at 32000000000: 13399
Mertens at 33000000000: 1257
Mertens at 34000000000: 28281
Mertens at 35000000000: -128
Mertens at 36000000000: -41870
Mertens at 37000000000: -46710
Mertens at 38000000000: -74923
Mertens at 39000000000: -37830
Mertens at 40000000000: -25295
Mertens at 41000000000: -6163
Mertens at 42000000000: 12358
Mertens at 43000000000: 26008
Mertens at 44000000000: 27973
Mertens at 45000000000: 11464
Mertens at 46000000000: 11188
Mertens at 47000000000: 29944
Mertens at 48000000000: 51415
Mertens at 49000000000: 57201
Mertens at 50000000000: 54591
Mertens at 51000000000: 13368
Mertens at 52000000000: -19220
Mertens at 53000000000: -14406
Mertens at 54000000000: -29657
Mertens at 55000000000: -42501
Mertens at 56000000000: -51689
Mertens at 57000000000: -73002
Mertens at 58000000000: -34825
Mertens at 59000000000: -23762
Mertens at 60000000000: -56841
Mertens at 61000000000: -47342
Mertens at 62000000000: -26842
Mertens at 63000000000: -610
Mertens at 64000000000: 9752
Mertens at 65000000000: 26298
Mertens at 66000000000: 40733
Mertens at 67000000000: 25594
Mertens at 68000000000: 42058
Mertens at 69000000000: 35653
Mertens at 70000000000: 7917
Mertens at 71000000000: 19622
Mertens at 72000000000: 55659
Mertens at 73000000000: 56479
Mertens at 74000000000: 54431
Mertens at 75000000000: 51397
Mertens at 76000000000: 48193
Mertens at 77000000000: 14831
Mertens at 78000000000: 23548
Mertens at 79000000000: -14970
Mertens at 80000000000: -1428
Mertens at 81000000000: -582
Mertens at 82000000000: 6919
Mertens at 83000000000: -7028
Mertens at 84000000000: -11074
Mertens at 85000000000: -2672
Mertens at 86000000000: -24495
Mertens at 87000000000: -19352
Mertens at 88000000000: -5126
Mertens at 89000000000: -22027
Mertens at 90000000000: -5554
Mertens at 91000000000: -11606
Mertens at 92000000000: -6349
Mertens at 93000000000: -41220
Mertens at 94000000000: -52475
Mertens at 95000000000: -74235
Mertens at 96000000000: -55573
Mertens at 97000000000: -50527
Mertens at 98000000000: -71198
Mertens at 99000000000: -82543
Mertens at 100000000000: -87856
Mertens at 101000000000: -113554
Mertens at 102000000000: -92162
Mertens at 103000000000: -88855
Mertens at 104000000000: -29583
Mertens at 105000000000: -30130
Mertens at 106000000000: 20408
Mertens at 107000000000: 96748
Mertens at 108000000000: 119952
Mertens at 109000000000: 153382
Mertens at 110000000000: 154370
Mertens at 111000000000: 141126
Mertens at 112000000000: 120204
Mertens at 113000000000: 125545
Mertens at 114000000000: 126453
Mertens at 115000000000: 81924
Mertens at 116000000000: 58045
Mertens at 117000000000: 33563
Mertens at 118000000000: 26078
Mertens at 119000000000: 59371
Mertens at 120000000000: 72840
Mertens at 121000000000: 76094
Mertens at 122000000000: 37982
Mertens at 123000000000: 9619
Mertens at 124000000000: -38293
